day,DiaSem,posts,likes,reactions,comments,shares
29/08/2018,Mie,1,12,14,5,0
30/08/2018,Jue,1,15,17,16,0
31/08/2018,Vie,0,0,0,0,0
01/09/2018,Sab,0,0,0,0,0
02/09/2018,Dom,0,0,0,0,0
03/09/2018,Lun,2,23,26,2,1
04/09/2018,Mar,1,13,13,1,1
05/09/2018,Mie,1,10,10,0,0
06/09/2018,Jue,1,11,12,0,17
07/09/2018,Vie,2,22,22,34,9
08/09/2018,Sab,0,0,0,0,0
09/09/2018,Dom,0,0,0,0,0
10/09/2018,Lun,0,0,0,0,0
11/09/2018,Mar,1,19,21,7,0
12/09/2018,Mie,0,0,0,0,0
13/09/2018,Jue,2,28,33,0,4
14/09/2018,Vie,0,0,0,0,0
15/09/2018,Sab,1,44,47,1,5
16/09/2018,Dom,0,0,0,0,0
17/09/2018,Lun,0,0,0,0,0
18/09/2018,Mar,0,0,0,0,0
19/09/2018,Mie,1,8,9,1,14
20/09/2018,Jue,1,26,29,15,0
21/09/2018,Vie,1,17,17,0,0
22/09/2018,Sab,0,0,0,0,0
23/09/2018,Dom,0,0,0,0,0
24/09/2018,Lun,1,11,12,21,4
25/09/2018,Mar,0,0,0,0,0
26/09/2018,Mie,0,0,0,0,0
27/09/2018,Jue,2,27,28,3,0
28/09/2018,Vie,0,0,0,0,0
29/09/2018,Sab,0,0,0,0,0
30/09/2018,Dom,0,0,0,0,0
01/10/2018,Lun,0,0,0,0,0
02/10/2018,Mar,2,26,28,1,4
03/10/2018,Mie,0,0,0,0,0
04/10/2018,Jue,1,125,132,44,18
05/10/2018,Vie,0,0,0,0,0
06/10/2018,Sab,0,0,0,0,0
07/10/2018,Dom,0,0,0,0,0
08/10/2018,Lun,2,17,17,1,2
09/10/2018,Mar,1,12,12,2,0
10/10/2018,Mie,0,0,0,0,0
11/10/2018,Jue,0,0,0,0,0
12/10/2018,Vie,4,42,43,3,3
13/10/2018,Sab,2,21,23,3,4
14/10/2018,Dom,1,6,6,9,0
15/10/2018,Lun,2,17,17,2,0
16/10/2018,Mar,2,20,20,3,3
17/10/2018,Mie,1,8,11,1,3
18/10/2018,Jue,1,25,26,7,6
19/10/2018,Vie,1,45,51,27,5
20/10/2018,Sab,0,0,0,0,0
21/10/2018,Dom,0,0,0,0,0
22/10/2018,Lun,4,51,58,3,12
23/10/2018,Mar,1,13,13,0,0
24/10/2018,Mie,0,0,0,0,0
25/10/2018,Jue,1,3,4,0,0
26/10/2018,Vie,0,0,0,0,0
27/10/2018,Sab,0,0,0,0,0
28/10/2018,Dom,0,0,0,0,0
29/10/2018,Lun,1,7,7,2,0
30/10/2018,Mar,0,0,0,0,0
31/10/2018,Mie,1,10,10,0,1
01/11/2018,Jue,2,42,43,3,2
02/11/2018,Vie,1,2,2,0,0
,,,,,,
